qCODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
E2015|« On se dessine les uns les autres »|« On se dessine les uns les autres »|Arts visuels|Societe artistique de Charlesbourg S.A.C.|Galerie d'art Magella-Paradis|Maison Magella-Paradis Salle d'entree|Arrondissement de Charlesbourg|7970, Le Trait-Carre Ouest, Quebec (QC) G1H 4P4 |2015-07-26|2015-07-26|Dimanche|11:00:00|16:00:00
H2015|Activites sociales ainees - Bonheurs d'Occasions|Activites sociales ainees|Loisirs recreatifs|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ salle de danse R-260|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-01-10|2015-04-11|Samedi|13:00:00|17:00:00
H2015|Musique - Instruments varies|Musique - Instruments varies|Arts de la scene|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ studio musique D|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-01-12|2015-05-16|Mardi|15:30:00|20:30:00
H2015|Musique - Instruments varies|Musique - Instruments varies|Arts de la scene|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ studio musique A|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-01-12|2015-05-16|Mercredi|15:30:00|20:00:00
H2015|Musique - Instruments varies|Musique - Instruments varies|Arts de la scene|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ studio musique C|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-01-12|2015-05-16|Vendredi|17:00:00|20:30:00
H2015|Marche - Club|Marche - Club|Activites physiques|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ Entree|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-01-13|2015-04-09|Jeudi|13:00:00|14:30:00
P2015|Marche - Club|Marche - Club|Activites physiques|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf  \ Entree|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-04-21|2015-06-18|Mardi|13:00:00|14:30:00
P2015|Volley-ball - Groupe communautaire|Volley-ball|Sports et de plein air|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf \ Gymnase simple 1|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-04-23|2015-05-28|Jeudi|20:45:00|22:15:00
P2015|Volley-ball - Groupe communautaire|Volley-ball - Groupe communautaire|Sports et de plein air|Loisirs Lebourgneuf inc.|Centre communautaire Lebourgneuf|Centre com. Lebourgneuf \ Gymnase simple 2|Arrondissement des Rivieres|1650, boulevard La Morille, Quebec (QC) G2K 2L2 |2015-04-20|2015-05-25|Lundi|16:00:00|17:30:00
H2015|Chant|Chant de groupe|Arts de la scene|Association des TCC des deux rives|Centre communautaire Lucien-Borne|CC Lucien-Borne salle 304|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-01-15|2015-03-19|Jeudi|13:30:00|15:00:00
H2015|Soccer-reservation|Soccer (reservation)|Sports et de plein air|Soccer Quebec-Centre|Centre communautaire Lucien-Borne|C. c. Ferland gymnase AB (RC05)|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-01-03|2015-05-10|Vendredi|18:30:00|19:45:00
P2015|Production annuelle|Production annuelle|Arts de la scene|Entr'Actes, productions artistiques|Centre communautaire Lucien-Borne|CC Lucien-Borne salle 305|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-04-18|2015-05-02|Samedi|09:00:00|12:00:00
P2015|Production annuelle|Production annuelle|Arts de la scene|Entr'Actes, productions artistiques|Centre communautaire Lucien-Borne|CC Lucien-Borne salle SS210 B|Arrondissement de La Cite-Limoilou|100, chemin Sainte-Foy, Quebec (QC) G1R 1T2 |2015-04-18|2015-05-02|Samedi|09:00:00|12:00:00
